block_id,log_count,first_line_id,last_line_id,line_span,first_event,last_event,unique_event_count,unique_component_count,warn_count,info_count,has_warn,event_sequence,component_sequence,level_sequence
blk_-1030832046197982436,1,1853,1853,0,E8,E8,1,1,0,1,0,E8,dfs.FSNamesystem,INFO
blk_-1046472716157313227,1,1401,1401,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
blk_-1049340855430710153,1,1700,1700,0,E10,E10,1,1,0,1,0,E10,dfs.DataNode$PacketResponder,INFO
blk_-1055254430948037872,1,161,161,0,E6,E6,1,1,0,1,0,E6,dfs.FSNamesystem,INFO
blk_-1067234447809438340,1,1488,1488,0,E10,E10,1,1,0,1,0,E10,dfs.DataNode$PacketResponder,INFO
blk_-1071115021179995772,1,1140,1140,0,E8,E8,1,1,0,1,0,E8,dfs.FSNamesystem,INFO
blk_-1082541280306680938,1,1967,1967,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
blk_-1090213273274684471,1,1693,1693,0,E11,E11,1,1,0,1,0,E11,dfs.DataNode$PacketResponder,INFO
blk_-1094025072435547068,1,212,212,0,E11,E11,1,1,0,1,0,E11,dfs.DataNode$PacketResponder,INFO
blk_-1096621677333075077,1,1489,1489,0,E10,E10,1,1,0,1,0,E10,dfs.DataNode$PacketResponder,INFO
blk_-1101091099241306483,1,1817,1817,0,E7,E7,1,1,0,1,0,E7,dfs.FSNamesystem,INFO
blk_-1110880362999960078,1,418,418,0,E8,E8,1,1,0,1,0,E8,dfs.FSNamesystem,INFO
blk_-1111344660779690782,1,475,475,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
blk_-1125621902344947014,1,1119,1119,0,E1,E1,1,1,0,1,0,E1,dfs.DataNode$DataXceiver,INFO
blk_-1133573997287815203,1,1318,1318,0,E13,E13,1,1,0,1,0,E13,dfs.DataNode$DataXceiver,INFO
blk_-1141332313413855099,1,1226,1226,0,E11,E11,1,1,0,1,0,E11,dfs.DataNode$PacketResponder,INFO
blk_-1148756466197125339,1,170,170,0,E10,E10,1,1,0,1,0,E10,dfs.DataNode$PacketResponder,INFO
blk_-1162676743264290624,1,1131,1131,0,E8,E8,1,1,0,1,0,E8,dfs.FSNamesystem,INFO
blk_-116589515245909549,1,1193,1193,0,E13,E13,1,1,0,1,0,E13,dfs.DataNode$DataXceiver,INFO
blk_-1180596628202464893,1,1382,1382,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
blk_-11867600358649678,1,1189,1189,0,E13,E13,1,1,0,1,0,E13,dfs.DataNode$DataXceiver,INFO
blk_-1197396592032418307,1,737,737,0,E10,E10,1,1,0,1,0,E10,dfs.DataNode$PacketResponder,INFO
blk_-1201318815778694289,1,669,669,0,E11,E11,1,1,0,1,0,E11,dfs.DataNode$PacketResponder,INFO
blk_-1227720343537039835,1,1361,1361,0,E8,E8,1,1,0,1,0,E8,dfs.FSNamesystem,INFO
blk_-1233005817943453613,1,362,362,0,E8,E8,1,1,0,1,0,E8,dfs.FSNamesystem,INFO
blk_-1236077201457689973,1,1641,1641,0,E11,E11,1,1,0,1,0,E11,dfs.DataNode$PacketResponder,INFO
blk_-1237539644269634790,1,1705,1705,0,E6,E6,1,1,0,1,0,E6,dfs.FSNamesystem,INFO
blk_-1250775350296476256,1,1104,1104,0,E10,E10,1,1,0,1,0,E10,dfs.DataNode$PacketResponder,INFO
blk_-1259190292740306590,1,120,120,0,E13,E13,1,1,0,1,0,E13,dfs.DataNode$DataXceiver,INFO
blk_-1263913006422225885,1,1011,1011,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
blk_-1271403908410292619,1,840,840,0,E8,E8,1,1,0,1,0,E8,dfs.FSNamesystem,INFO
blk_-1278725622357466169,1,1743,1743,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
blk_-1281276222788579863,1,1402,1402,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
blk_-1282453782148343691,1,59,59,0,E7,E7,1,1,0,1,0,E7,dfs.FSNamesystem,INFO
blk_-1305222006484630743,1,1962,1962,0,E6,E6,1,1,0,1,0,E6,dfs.FSNamesystem,INFO
blk_-1306900105984505600,1,1584,1584,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
blk_-1312981516354612257,1,1585,1585,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
blk_-1331750856499198500,1,376,376,0,E8,E8,1,1,0,1,0,E8,dfs.FSNamesystem,INFO
blk_-1332315107905285608,1,1315,1315,0,E6,E6,1,1,0,1,0,E6,dfs.FSNamesystem,INFO
blk_-1335063409877429524,1,1108,1108,0,E8,E8,1,1,0,1,0,E8,dfs.FSNamesystem,INFO
blk_-133919539232421451,1,423,423,0,E8,E8,1,1,0,1,0,E8,dfs.FSNamesystem,INFO
blk_-1342669964196815853,1,815,815,0,E8,E8,1,1,0,1,0,E8,dfs.FSNamesystem,INFO
blk_-1345585044778938153,1,1739,1739,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
blk_-1347057913082589493,1,519,519,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
blk_-1367876730256254709,1,297,297,0,E3,E3,1,1,1,0,1,E3,dfs.DataNode$DataXceiver,WARN
blk_-1368324087589035770,1,1411,1411,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
blk_-1379379987510648393,1,1541,1541,0,E6,E6,1,1,0,1,0,E6,dfs.FSNamesystem,INFO
blk_-1383276859207001328,1,347,347,0,E14,E14,1,1,0,1,0,E14,dfs.DataBlockScanner,INFO
blk_-1387034299358896632,1,572,572,0,E10,E10,1,1,0,1,0,E10,dfs.DataNode$PacketResponder,INFO
blk_-1417908110808566576,1,1200,1200,0,E6,E6,1,1,0,1,0,E6,dfs.FSNamesystem,INFO
blk_-1432303681669932458,1,696,696,0,E1,E1,1,1,0,1,0,E1,dfs.DataNode$DataXceiver,INFO
blk_-1435656632270396446,1,673,673,0,E6,E6,1,1,0,1,0,E6,dfs.FSNamesystem,INFO
blk_-1440254020029439248,1,1990,1990,0,E11,E11,1,1,0,1,0,E11,dfs.DataNode$PacketResponder,INFO
blk_-1442905060580014339,1,803,803,0,E1,E1,1,1,0,1,0,E1,dfs.DataNode$DataXceiver,INFO
blk_-1451819169209310732,1,1879,1879,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
blk_-1484647023667047838,1,1947,1947,0,E10,E10,1,1,0,1,0,E10,dfs.DataNode$PacketResponder,INFO
blk_-1485109068671160157,1,1056,1056,0,E11,E11,1,1,0,1,0,E11,dfs.DataNode$PacketResponder,INFO
blk_-1485317050914225917,1,590,590,0,E10,E10,1,1,0,1,0,E10,dfs.DataNode$PacketResponder,INFO
blk_-1490623381339215624,1,663,663,0,E10,E10,1,1,0,1,0,E10,dfs.DataNode$PacketResponder,INFO
blk_-1492402439215451727,1,456,456,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
blk_-1496429201748767714,1,1621,1621,0,E6,E6,1,1,0,1,0,E6,dfs.FSNamesystem,INFO
blk_-1508527605812345693,1,1123,1123,0,E3,E3,1,1,1,0,1,E3,dfs.DataNode$DataXceiver,WARN
blk_-1522107359378428427,1,1638,1638,0,E11,E11,1,1,0,1,0,E11,dfs.DataNode$PacketResponder,INFO
blk_-1522998827901549925,1,1393,1393,0,E11,E11,1,1,0,1,0,E11,dfs.DataNode$PacketResponder,INFO
blk_-1525964299678787959,1,1263,1263,0,E8,E8,1,1,0,1,0,E8,dfs.FSNamesystem,INFO
blk_-1527267659500322006,1,53,53,0,E10,E10,1,1,0,1,0,E10,dfs.DataNode$PacketResponder,INFO
blk_-1533191386601391937,1,1784,1784,0,E7,E7,1,1,0,1,0,E7,dfs.FSNamesystem,INFO
blk_-1535908830476495455,1,871,871,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
blk_-1547954353065580372,1,176,176,0,E14,E14,1,1,0,1,0,E14,dfs.DataBlockScanner,INFO
blk_-1573544581830458089,1,1381,1381,0,E8,E8,1,1,0,1,0,E8,dfs.FSNamesystem,INFO
blk_-1581605246928123722,1,462,462,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
blk_-1592043549272047369,1,1994,1994,0,E11,E11,1,1,0,1,0,E11,dfs.DataNode$PacketResponder,INFO
blk_-1598760065436384831,1,1017,1017,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
blk_-1599621098605751235,1,474,474,0,E9,E9,1,1,0,1,0,E9,dfs.FSDataset,INFO
