block_id,investigation_priority,final_severity,final_alert_type,hybrid_risk_score,rule_risk_score,rule_risk_level,isolation_label,ml_anomaly_risk,event_sequence,component_sequence,level_sequence,warn_count,exception_keyword_count,delete_keyword_count,rare_event_count,rare_transition_count,starts_normal_ends_exception,alert_explanation,recommended_action
blk_-7029628814943626474,P1 - Immediate,Critical,critical_confirmed_anomaly,0.8048792459558525,15,Critical,anomaly,0.09294345717645303,E11 -> E3,dfs.DataNode$PacketResponder -> dfs.DataNode$DataXceiver,INFO -> WARN,1,1,0,0.0,1.0,1,"Flagged because it rule-based risk score is 15; contains WARN-level log activity; contains exception/error/failure-related text; contains Event ID E3, associated with exception while serving an HDFS block; was flagged as anomalous by Isolation Forest; contains 1 rare event transition(s); starts with a non-exception event and ends with an E3 exception event; ends with an E3 exception event.","Immediate investigation required. Review the full block trace, related DataNode activity, exception context, and surrounding logs before and after this session."
blk_2262752117989012641,P2 - High Priority,High,rule_driven_high_risk,0.5837827950635099,12,Critical,anomaly,0.11268964005666993,E3,dfs.DataNode$DataXceiver,WARN,1,1,0,0.0,0.0,0,"Flagged because it rule-based risk score is 12; contains WARN-level log activity; contains exception/error/failure-related text; contains Event ID E3, associated with exception while serving an HDFS block; was flagged as anomalous by Isolation Forest; ends with an E3 exception event.",Prioritize for analyst review. Check whether the WARN/E3 exception pattern repeats across multiple blocks or components.
blk_-4181768899028058192,P2 - High Priority,High,rule_driven_high_risk,0.5836357640939341,12,Critical,anomaly,0.11253605511884879,E3,dfs.DataNode$DataXceiver,WARN,1,1,0,0.0,0.0,0,"Flagged because it rule-based risk score is 12; contains WARN-level log activity; contains exception/error/failure-related text; contains Event ID E3, associated with exception while serving an HDFS block; was flagged as anomalous by Isolation Forest; ends with an E3 exception event.",Prioritize for analyst review. Check whether the WARN/E3 exception pattern repeats across multiple blocks or components.
blk_-3140031507252212554,P2 - High Priority,High,rule_driven_high_risk,0.5834464681372244,12,Critical,anomaly,0.11233832121404674,E3,dfs.DataNode$DataXceiver,WARN,1,1,0,0.0,0.0,0,"Flagged because it rule-based risk score is 12; contains WARN-level log activity; contains exception/error/failure-related text; contains Event ID E3, associated with exception while serving an HDFS block; was flagged as anomalous by Isolation Forest; ends with an E3 exception event.",Prioritize for analyst review. Check whether the WARN/E3 exception pattern repeats across multiple blocks or components.
blk_-8083036675630459841,P2 - High Priority,High,rule_driven_high_risk,0.5832995130104947,12,Critical,anomaly,0.11218481549979875,E3,dfs.DataNode$DataXceiver,WARN,1,1,0,0.0,0.0,0,"Flagged because it rule-based risk score is 12; contains WARN-level log activity; contains exception/error/failure-related text; contains Event ID E3, associated with exception while serving an HDFS block; was flagged as anomalous by Isolation Forest; ends with an E3 exception event.",Prioritize for analyst review. Check whether the WARN/E3 exception pattern repeats across multiple blocks or components.
blk_-1508527605812345693,P2 - High Priority,High,rule_driven_high_risk,0.5830057021661788,12,Critical,anomaly,0.11187790791165153,E3,dfs.DataNode$DataXceiver,WARN,1,1,0,0.0,0.0,0,"Flagged because it rule-based risk score is 12; contains WARN-level log activity; contains exception/error/failure-related text; contains Event ID E3, associated with exception while serving an HDFS block; was flagged as anomalous by Isolation Forest; ends with an E3 exception event.",Prioritize for analyst review. Check whether the WARN/E3 exception pattern repeats across multiple blocks or components.
blk_481857539063371482,P2 - High Priority,High,rule_driven_high_risk,0.582671199685483,12,Critical,anomaly,0.11152849484005922,E3,dfs.DataNode$DataXceiver,WARN,1,1,0,0.0,0.0,0,"Flagged because it rule-based risk score is 12; contains WARN-level log activity; contains exception/error/failure-related text; contains Event ID E3, associated with exception while serving an HDFS block; was flagged as anomalous by Isolation Forest; ends with an E3 exception event.",Prioritize for analyst review. Check whether the WARN/E3 exception pattern repeats across multiple blocks or components.
blk_-4411589101766563890,P2 - High Priority,High,rare_event_ml_anomaly,0.5633318363373625,3,Medium,anomaly,0.013860105383256105,E10 -> E12,dfs.DataNode$PacketResponder -> dfs.DataNode$DataXceiver,INFO -> INFO,0,0,0,1.0,1.0,0,Flagged because it rule-based risk score is 3; was flagged as anomalous by Isolation Forest; contains 1 rare Event ID pattern(s); contains 1 rare event transition(s).,Prioritize for analyst review. Check whether the WARN/E3 exception pattern repeats across multiple blocks or components.
blk_-2918118818249673980,P2 - High Priority,High,rule_driven_high_risk,0.5591872577404039,12,Critical,anomaly,0.0869977461560415,E3,dfs.DataNode$DataXceiver,WARN,1,1,0,0.0,0.0,0,"Flagged because it rule-based risk score is 12; contains WARN-level log activity; contains exception/error/failure-related text; contains Event ID E3, associated with exception while serving an HDFS block; was flagged as anomalous by Isolation Forest; ends with an E3 exception event.",Prioritize for analyst review. Check whether the WARN/E3 exception pattern repeats across multiple blocks or components.
blk_8376667364205250596,P2 - High Priority,High,rule_driven_high_risk,0.5590457731466925,12,Critical,anomaly,0.08684995482615698,E3,dfs.DataNode$DataXceiver,WARN,1,1,0,0.0,0.0,0,"Flagged because it rule-based risk score is 12; contains WARN-level log activity; contains exception/error/failure-related text; contains Event ID E3, associated with exception while serving an HDFS block; was flagged as anomalous by Isolation Forest; ends with an E3 exception event.",Prioritize for analyst review. Check whether the WARN/E3 exception pattern repeats across multiple blocks or components.
